Domain, Ia, Ea
0,0,0
5.00E-05,6.66E-11,-3.55E-07
0.0001,4.88E-10,-1.42E-06
0.00015,1.62E-09,-3.20E-06
0.0002,3.81E-09,-5.68E-06
0.00025,7.42E-09,-8.86E-06
0.0003,1.28E-08,-1.27E-05
0.00035,2.03E-08,-1.73E-05
0.0004,3.02E-08,-2.26E-05
0.00045,4.29E-08,-2.85E-05
0.0005,5.88E-08,-3.52E-05
0.00055,7.81E-08,-4.25E-05
0.0006,1.01E-07,-5.04E-05
0.00065,1.28E-07,-5.90E-05
0.0007,1.60E-07,-6.82E-05
0.00075,1.96E-07,-7.81E-05
0.0008,2.38E-07,-8.86E-05
0.00085,2.84E-07,-9.96E-05
0.0009,3.36E-07,-0.000111272
0.00095,3.94E-07,-0.000123489
0.001,4.59E-07,-0.000136261
0.00105,5.29E-07,-0.000149568
0.0011,6.06E-07,-0.000163396
0.00115,6.90E-07,-0.000177725
0.0012,7.82E-07,-0.000192537
0.00125,8.80E-07,-0.000207813
0.0013,9.86E-07,-0.000223533
0.00135,1.10E-06,-0.000239676
0.0014,1.22E-06,-0.000256221
0.00145,1.35E-06,-0.000273146
0.0015,1.49E-06,-0.000290429
0.00155,1.63E-06,-0.000308046
0.0016,1.79E-06,-0.000325975
0.00165,1.95E-06,-0.00034419
0.0017,2.12E-06,-0.000362669
0.00175,2.30E-06,-0.000381385
0.0018,2.49E-06,-0.000400313
0.00185,2.69E-06,-0.000419427
0.0019,2.89E-06,-0.000438702
0.00195,3.11E-06,-0.00045811
0.002,3.33E-06,-0.000477624
0.00205,3.57E-06,-0.000497218
0.0021,3.81E-06,-0.000516863
0.00215,4.06E-06,-0.000536532
0.0022,4.32E-06,-0.000556196
0.00225,4.58E-06,-0.000575828
0.0023,4.86E-06,-0.000595399
0.00235,5.15E-06,-0.000614881
0.0024,5.44E-06,-0.000634244
0.00245,5.74E-06,-0.000653459
0.0025,6.05E-06,-0.000672499
0.00255,6.37E-06,-0.000691333
0.0026,6.69E-06,-0.000709933
0.00265,7.02E-06,-0.00072827
0.0027,7.36E-06,-0.000746316
0.00275,7.71E-06,-0.00076404
0.0028,8.06E-06,-0.000781415
0.00285,8.42E-06,-0.000798413
0.0029,8.78E-06,-0.000815004
0.00295,9.15E-06,-0.00083116
0.003,9.53E-06,-0.000846854
0.00305,9.91E-06,-0.000862057
0.0031,1.03E-05,-0.000876743
0.00315,1.07E-05,-0.000890884
0.0032,1.11E-05,-0.000904454
0.00325,1.15E-05,-0.000917425
0.0033,1.19E-05,-0.000929772
0.00335,1.23E-05,-0.00094147
0.0034,1.27E-05,-0.000952492
0.00345,1.31E-05,-0.000962815
0.0035,1.35E-05,-0.000972415
0.00355,1.39E-05,-0.000981267
0.0036,1.43E-05,-0.000989348
0.00365,1.48E-05,-0.000996637
0.0037,1.52E-05,-0.00100311
0.00375,1.56E-05,-0.001008748
0.0038,1.60E-05,-0.001013528
0.00385,1.64E-05,-0.001017432
0.0039,1.68E-05,-0.00102044
0.00395,1.72E-05,-0.001022534
0.004,1.76E-05,-0.001023695
0.00405,1.80E-05,-0.001023907
0.0041,1.84E-05,-0.001023154
0.00415,1.88E-05,-0.001021419
0.0042,1.91E-05,-0.00101869
0.00425,1.95E-05,-0.001014951
0.0043,1.99E-05,-0.00101019
0.00435,2.02E-05,-0.001004396
0.0044,2.06E-05,-0.000997556
0.00445,2.09E-05,-0.000989662
0.0045,2.12E-05,-0.000980703
0.00455,2.16E-05,-0.000970672
0.0046,2.19E-05,-0.000959561
0.00465,2.22E-05,-0.000947364
0.0047,2.24E-05,-0.000934075
0.00475,2.27E-05,-0.000919691
0.0048,2.30E-05,-0.000904208
0.00485,2.32E-05,-0.000887623
0.0049,2.35E-05,-0.000869936
0.00495,2.37E-05,-0.000851146
0.005,2.39E-05,-0.000831254
0.00505,2.41E-05,-0.000810262
0.0051,2.42E-05,-0.000788173
0.00515,2.44E-05,-0.00076499
0.0052,2.45E-05,-0.00074072
0.00525,2.46E-05,-0.000715368
0.0053,2.47E-05,-0.000688941
0.00535,2.48E-05,-0.000661447
0.0054,2.48E-05,-0.000632897
0.00545,2.49E-05,-0.0006033
0.0055,2.49E-05,-0.000572667
0.00555,2.49E-05,-0.000541013
0.0056,2.48E-05,-0.000508349
0.00565,2.48E-05,-0.000474691
0.0057,2.47E-05,-0.000440054
0.00575,2.46E-05,-0.000404456
0.0058,2.45E-05,-0.000367913
0.00585,2.43E-05,-0.000330446
0.0059,2.41E-05,-0.000292074
0.00595,2.39E-05,-0.000252817
0.006,2.37E-05,-0.000212698
0.00605,2.34E-05,-0.000171739
0.0061,2.32E-05,-0.000129964
0.00615,2.29E-05,-8.74E-05
0.0062,2.25E-05,-4.41E-05
0.00625,2.22E-05,2.18E-17
0.0063,2.18E-05,4.48E-05
0.00635,2.14E-05,9.02E-05
0.0064,2.09E-05,0.000136356
0.00645,2.04E-05,0.000183093
0.0065,1.99E-05,0.000230422
0.00655,1.94E-05,0.000278311
0.0066,1.89E-05,0.000326726
0.00665,1.83E-05,0.000375635
0.0067,1.76E-05,0.000425003
0.00675,1.70E-05,0.000474796
0.0068,1.63E-05,0.000524977
0.00685,1.56E-05,0.00057551
0.0069,1.49E-05,0.000626358
0.00695,1.41E-05,0.000677484
0.007,1.33E-05,0.000728849
0.00705,1.25E-05,0.000780415
0.0071,1.17E-05,0.000832142
0.00715,1.08E-05,0.00088399
0.0072,9.90E-06,0.000935919
0.00725,8.97E-06,0.000987889
0.0073,8.01E-06,0.001039857
0.00735,7.03E-06,0.001091782
0.0074,6.02E-06,0.001143623
0.00745,4.97E-06,0.001195337
0.0075,3.91E-06,0.001246881
0.00755,2.82E-06,0.001298212
0.0076,1.70E-06,0.001349288
0.00765,5.52E-07,0.001400065
0.0077,-6.17E-07,0.0014505
0.00775,-1.81E-06,0.001500548
0.0078,-3.03E-06,0.001550168
0.00785,-4.27E-06,0.001599313
0.0079,-5.53E-06,0.001647942
0.00795,-6.82E-06,0.001696009
0.008,-8.12E-06,0.001743472
0.00805,-9.45E-06,0.001790287
0.0081,-1.08E-05,0.001836411
0.00815,-1.22E-05,0.001881799
0.0082,-1.36E-05,0.00192641
0.00825,-1.50E-05,0.001970199
0.0083,-1.64E-05,0.002013125
0.00835,-1.78E-05,0.002055145
0.0084,-1.93E-05,0.002096217
0.00845,-2.07E-05,0.0021363
0.0085,-2.22E-05,0.002175352
0.00855,-2.37E-05,0.002213332
0.0086,-2.52E-05,0.002250202
0.00865,-2.67E-05,0.002285919
0.0087,-2.83E-05,0.002320447
0.00875,-2.98E-05,0.002353745
0.0088,-3.14E-05,0.002385776
0.00885,-3.29E-05,0.002416503
0.0089,-3.45E-05,0.002445889
0.00895,-3.60E-05,0.002473898
0.009,-3.76E-05,0.002500495
0.00905,-3.92E-05,0.002525646
0.0091,-4.07E-05,0.002549318
0.00915,-4.23E-05,0.002571477
0.0092,-4.39E-05,0.002592092
0.00925,-4.55E-05,0.002611132
0.0093,-4.70E-05,0.002628568
0.00935,-4.86E-05,0.002644371
0.0094,-5.01E-05,0.002658512
0.00945,-5.17E-05,0.002670964
0.0095,-5.32E-05,0.002681704
0.00955,-5.48E-05,0.002690704
0.0096,-5.63E-05,0.002697943
0.00965,-5.78E-05,0.002703397
0.0097,-5.93E-05,0.002707046
0.00975,-6.08E-05,0.00270887
0.0098,-6.23E-05,0.002708849
0.00985,-6.37E-05,0.002706967
0.0099,-6.51E-05,0.002703206
0.00995,-6.66E-05,0.002697553
0.01,-6.79E-05,0.002689994
0.01005,-6.93E-05,0.002680516
0.0101,-7.07E-05,0.002669108
0.01015,-7.20E-05,0.002655761
0.0102,-7.33E-05,0.002640467
0.01025,-7.46E-05,0.002623218
0.0103,-7.58E-05,0.00260401
0.01035,-7.70E-05,0.002582839
0.0104,-7.82E-05,0.002559701
0.01045,-7.94E-05,0.002534597
0.0105,-8.05E-05,0.002507526
0.01055,-8.15E-05,0.00247849
0.0106,-8.26E-05,0.002447493
0.01065,-8.36E-05,0.00241454
0.0107,-8.46E-05,0.002379637
0.01075,-8.55E-05,0.002342791
0.0108,-8.64E-05,0.002304013
0.01085,-8.72E-05,0.002263312
0.0109,-8.81E-05,0.002220702
0.01095,-8.88E-05,0.002176197
0.011,-8.95E-05,0.002129811
0.01105,-9.02E-05,0.002081561
0.0111,-9.08E-05,0.002031467
0.01115,-9.14E-05,0.001979548
0.0112,-9.19E-05,0.001925825
0.01125,-9.24E-05,0.001870321
0.0113,-9.28E-05,0.001813061
0.01135,-9.32E-05,0.001754071
0.0114,-9.35E-05,0.001693377
0.01145,-9.38E-05,0.001631008
0.0115,-9.40E-05,0.001566996
0.01155,-9.41E-05,0.001501371
0.0116,-9.42E-05,0.001434166
0.01165,-9.42E-05,0.001365416
0.0117,-9.42E-05,0.001295157
0.01175,-9.41E-05,0.001223426
0.0118,-9.40E-05,0.001150261
0.01185,-9.38E-05,0.001075702
0.0119,-9.35E-05,0.000999791
0.01195,-9.32E-05,0.000922569
0.012,-9.28E-05,0.000844081
0.01205,-9.24E-05,0.000764372
0.0121,-9.19E-05,0.000683487
0.01215,-9.13E-05,0.000601474
0.0122,-9.07E-05,0.000518381
0.01225,-9.00E-05,0.000434257
0.0123,-8.92E-05,0.000349155
0.01235,-8.84E-05,0.000263125
0.0124,-8.75E-05,0.000176219
0.01245,-8.65E-05,8.85E-05
0.0125,-8.55E-05,7.94E-17
0.01255,-8.44E-05,-8.92E-05
0.0126,-8.32E-05,-0.000179062
0.01265,-8.20E-05,-0.000269516
0.0127,-8.07E-05,-0.00036051
0.01275,-7.94E-05,-0.000451982
0.0128,-7.79E-05,-0.000543875
0.01285,-7.65E-05,-0.000636126
0.0129,-7.49E-05,-0.000728676
0.01295,-7.33E-05,-0.000821462
0.013,-7.16E-05,-0.000914422
0.01305,-6.99E-05,-0.001007492
0.0131,-6.81E-05,-0.00110061
0.01315,-6.62E-05,-0.001193712
0.0132,-6.43E-05,-0.001286733
0.01325,-6.23E-05,-0.001379608
0.0133,-6.03E-05,-0.001472273
0.01335,-5.81E-05,-0.001564662
0.0134,-5.60E-05,-0.001656709
0.01345,-5.37E-05,-0.00174835
0.0135,-5.15E-05,-0.001839517
0.01355,-4.91E-05,-0.001930145
0.0136,-4.67E-05,-0.002020169
0.01365,-4.43E-05,-0.002109521
0.0137,-4.18E-05,-0.002198136
0.01375,-3.92E-05,-0.002285948
0.0138,-3.66E-05,-0.002372891
0.01385,-3.39E-05,-0.0024589
0.0139,-3.12E-05,-0.002543909
0.01395,-2.84E-05,-0.002627854
0.014,-2.56E-05,-0.002710668
0.01405,-2.28E-05,-0.002792289
0.0141,-1.99E-05,-0.002872652
0.01415,-1.69E-05,-0.002951693
0.0142,-1.39E-05,-0.00302935
0.01425,-1.09E-05,-0.00310556
0.0143,-7.83E-06,-0.003180262
0.01435,-4.73E-06,-0.003253394
0.0144,-1.59E-06,-0.003324897
0.01445,1.59E-06,-0.00339471
0.0145,4.79E-06,-0.003462774
0.01455,8.03E-06,-0.003529032
0.0146,1.13E-05,-0.003593427
0.01465,1.46E-05,-0.003655902
0.0147,1.79E-05,-0.003716403
0.01475,2.13E-05,-0.003774875
0.0148,2.46E-05,-0.003831266
0.01485,2.80E-05,-0.003885522
0.0149,3.14E-05,-0.003937595
0.01495,3.48E-05,-0.003987434
0.015,3.83E-05,-0.004034991
0.01505,4.17E-05,-0.004080219
0.0151,4.52E-05,-0.004123073
0.01515,4.86E-05,-0.004163507
0.0152,5.21E-05,-0.00420148
0.01525,5.56E-05,-0.00423695
0.0153,5.90E-05,-0.004269877
0.01535,6.25E-05,-0.004300223
0.0154,6.60E-05,-0.00432795
0.01545,6.94E-05,-0.004353024
0.0155,7.29E-05,-0.004375411
0.01555,7.63E-05,-0.004395079
0.0156,7.98E-05,-0.004411998
0.01565,8.32E-05,-0.004426139
0.0157,8.66E-05,-0.004437475
0.01575,9.00E-05,-0.004445982
0.0158,9.34E-05,-0.004451636
0.01585,9.67E-05,-0.004454416
0.0159,0.000100021,-0.004454302
0.01595,0.000103313,-0.004451277
0.016,0.000106574,-0.004445325
0.01605,0.000109804,-0.004436431
0.0161,0.000112999,-0.004424585
0.01615,0.000116158,-0.004409776
0.0162,0.000119278,-0.004391997
0.01625,0.000122357,-0.00437124
0.0163,0.000125393,-0.004347503
0.01635,0.000128384,-0.004320784
0.0164,0.000131326,-0.004291082
0.01645,0.000134219,-0.0042584
0.0165,0.00013706,-0.004222742
0.01655,0.000139847,-0.004184114
0.0166,0.000142577,-0.004142524
