Domain, Ia, Ea
0,0,0
5.00E-05,3.05E-11,-1.78E-07
0.0001,2.39E-10,-7.11E-07
0.00015,8.02E-10,-1.60E-06
0.0002,1.90E-09,-2.84E-06
0.00025,3.70E-09,-4.44E-06
0.0003,6.39E-09,-6.39E-06
0.00035,1.01E-08,-8.70E-06
0.0004,1.51E-08,-1.14E-05
0.00045,2.15E-08,-1.44E-05
0.0005,2.95E-08,-1.77E-05
0.00055,3.92E-08,-2.14E-05
0.0006,5.09E-08,-2.55E-05
0.00065,6.47E-08,-2.99E-05
0.0007,8.07E-08,-3.47E-05
0.00075,9.92E-08,-3.97E-05
0.0008,1.20E-07,-4.52E-05
0.00085,1.44E-07,-5.10E-05
0.0009,1.71E-07,-5.71E-05
0.00095,2.01E-07,-6.35E-05
0.001,2.34E-07,-7.03E-05
0.00105,2.70E-07,-7.75E-05
0.0011,3.10E-07,-8.49E-05
0.00115,3.54E-07,-9.27E-05
0.0012,4.02E-07,-0.000100819
0.00125,4.53E-07,-0.000109254
0.0013,5.09E-07,-0.00011801
0.00135,5.69E-07,-0.000127083
0.0014,6.34E-07,-0.000136472
0.00145,7.03E-07,-0.000146172
0.0015,7.77E-07,-0.000156182
0.00155,8.55E-07,-0.000166498
0.0016,9.39E-07,-0.000177116
0.00165,1.03E-06,-0.000188033
0.0017,1.12E-06,-0.000199245
0.00175,1.22E-06,-0.00021075
0.0018,1.33E-06,-0.000222543
0.00185,1.44E-06,-0.000234621
0.0019,1.55E-06,-0.000246979
0.00195,1.67E-06,-0.000259614
0.002,1.80E-06,-0.000272521
0.00205,1.94E-06,-0.000285697
0.0021,2.08E-06,-0.000299137
0.00215,2.22E-06,-0.000312837
0.0022,2.37E-06,-0.000326792
0.00225,2.53E-06,-0.000340998
0.0023,2.70E-06,-0.00035545
0.00235,2.87E-06,-0.000370144
0.0024,3.05E-06,-0.000385075
0.00245,3.23E-06,-0.000400237
0.0025,3.42E-06,-0.000415627
0.00255,3.62E-06,-0.000431238
0.0026,3.83E-06,-0.000447067
0.00265,4.04E-06,-0.000463106
0.0027,4.26E-06,-0.000479352
0.00275,4.49E-06,-0.0004958
0.0028,4.72E-06,-0.000512442
0.00285,4.96E-06,-0.000529275
0.0029,5.21E-06,-0.000546292
0.00295,5.46E-06,-0.000563488
0.003,5.72E-06,-0.000580857
0.00305,5.99E-06,-0.000598394
0.0031,6.27E-06,-0.000616092
0.00315,6.55E-06,-0.000633946
0.0032,6.84E-06,-0.000651949
0.00325,7.14E-06,-0.000670096
0.0033,7.44E-06,-0.000688381
0.00335,7.76E-06,-0.000706796
0.0034,8.08E-06,-0.000725337
0.00345,8.40E-06,-0.000743997
0.0035,8.74E-06,-0.000762769
0.00355,9.08E-06,-0.000781647
0.0036,9.42E-06,-0.000800625
0.00365,9.78E-06,-0.000819697
0.0037,1.01E-05,-0.000838854
0.00375,1.05E-05,-0.000858092
0.0038,1.09E-05,-0.000877403
0.00385,1.13E-05,-0.000896781
0.0039,1.17E-05,-0.000916219
0.00395,1.20E-05,-0.00093571
0.004,1.24E-05,-0.000955248
0.00405,1.29E-05,-0.000974825
0.0041,1.33E-05,-0.000994435
0.00415,1.37E-05,-0.001014071
0.0042,1.41E-05,-0.001033726
0.00425,1.46E-05,-0.001053392
0.0043,1.50E-05,-0.001073063
0.00435,1.54E-05,-0.001092733
0.0044,1.59E-05,-0.001112393
0.00445,1.63E-05,-0.001132036
0.0045,1.68E-05,-0.001151657
0.00455,1.73E-05,-0.001171247
0.0046,1.77E-05,-0.001190799
0.00465,1.82E-05,-0.001210306
0.0047,1.87E-05,-0.001229761
0.00475,1.92E-05,-0.001249157
0.0048,1.97E-05,-0.001268487
0.00485,2.02E-05,-0.001287743
0.0049,2.07E-05,-0.001306918
0.00495,2.12E-05,-0.001326005
0.005,2.17E-05,-0.001344997
0.00505,2.22E-05,-0.001363886
0.0051,2.27E-05,-0.001382666
0.00515,2.32E-05,-0.001401328
0.0052,2.38E-05,-0.001419866
0.00525,2.43E-05,-0.001438273
0.0053,2.48E-05,-0.00145654
