Domain, Ia, Ea
0,0,0
5.00E-05,4.16E-11,-2.22E-07
0.0001,3.05E-10,-8.88E-07
0.00015,1.01E-09,-2.00E-06
0.0002,2.39E-09,-3.55E-06
0.00025,4.64E-09,-5.55E-06
0.0003,8.01E-09,-7.99E-06
0.00035,1.27E-08,-1.09E-05
0.0004,1.89E-08,-1.42E-05
0.00045,2.69E-08,-1.79E-05
0.0005,3.69E-08,-2.21E-05
0.00055,4.90E-08,-2.67E-05
0.0006,6.36E-08,-3.18E-05
0.00065,8.08E-08,-3.73E-05
0.0007,1.01E-07,-4.32E-05
0.00075,1.24E-07,-4.95E-05
0.0008,1.50E-07,-5.63E-05
0.00085,1.80E-07,-6.34E-05
0.0009,2.13E-07,-7.10E-05
0.00095,2.50E-07,-7.90E-05
0.001,2.91E-07,-8.74E-05
0.00105,3.36E-07,-9.62E-05
0.0011,3.86E-07,-0.000105391
0.00115,4.40E-07,-0.000114974
0.0012,5.00E-07,-0.000124946
0.00125,5.63E-07,-0.000135299
0.0013,6.33E-07,-0.00014603
0.00135,7.07E-07,-0.000157132
0.0014,7.87E-07,-0.0001686
0.00145,8.72E-07,-0.000180429
0.0015,9.63E-07,-0.000192612
0.00155,1.06E-06,-0.000205143
0.0016,1.16E-06,-0.000218017
0.00165,1.27E-06,-0.000231226
0.0017,1.39E-06,-0.000244764
0.00175,1.51E-06,-0.000258624
0.0018,1.64E-06,-0.000272798
0.00185,1.77E-06,-0.000287281
0.0019,1.92E-06,-0.000302064
0.00195,2.06E-06,-0.00031714
0.002,2.22E-06,-0.000332502
0.00205,2.38E-06,-0.00034814
0.0021,2.55E-06,-0.000364048
0.00215,2.73E-06,-0.000380217
0.0022,2.92E-06,-0.00039664
0.00225,3.11E-06,-0.000413306
0.0023,3.31E-06,-0.000430209
0.00235,3.52E-06,-0.000447338
0.0024,3.73E-06,-0.000464686
0.00245,3.95E-06,-0.000482243
0.0025,4.18E-06,-0.0005
0.00255,4.42E-06,-0.000517948
0.0026,4.67E-06,-0.000536077
0.00265,4.92E-06,-0.000554378
0.0027,5.18E-06,-0.000572841
0.00275,5.45E-06,-0.000591457
0.0028,5.73E-06,-0.000610215
0.00285,6.02E-06,-0.000629106
0.0029,6.31E-06,-0.00064812
0.00295,6.61E-06,-0.000667246
0.003,6.92E-06,-0.000686474
0.00305,7.24E-06,-0.000705793
0.0031,7.56E-06,-0.000725195
0.00315,7.89E-06,-0.000744666
0.0032,8.23E-06,-0.000764198
0.00325,8.58E-06,-0.00078378
0.0033,8.93E-06,-0.0008034
0.00335,9.29E-06,-0.000823048
0.0034,9.66E-06,-0.000842714
0.00345,1.00E-05,-0.000862385
0.0035,1.04E-05,-0.000882051
0.00355,1.08E-05,-0.000901702
0.0036,1.12E-05,-0.000921325
0.00365,1.16E-05,-0.000940911
0.0037,1.20E-05,-0.000960447
0.00375,1.24E-05,-0.000979922
0.0038,1.29E-05,-0.000999326
0.00385,1.33E-05,-0.001018647
0.0039,1.37E-05,-0.001037873
0.00395,1.42E-05,-0.001056994
0.004,1.46E-05,-0.001075998
0.00405,1.51E-05,-0.001094873
0.0041,1.55E-05,-0.001113609
0.00415,1.60E-05,-0.001132195
0.0042,1.65E-05,-0.001150618
0.00425,1.69E-05,-0.001168868
0.0043,1.74E-05,-0.001186933
0.00435,1.79E-05,-0.001204802
0.0044,1.84E-05,-0.001222464
0.00445,1.89E-05,-0.001239908
0.0045,1.94E-05,-0.001257122
0.00455,1.99E-05,-0.001274095
0.0046,2.04E-05,-0.001290817
0.00465,2.09E-05,-0.001307276
0.0047,2.14E-05,-0.001323461
0.00475,2.19E-05,-0.001339361
0.0048,2.24E-05,-0.001354966
0.00485,2.29E-05,-0.001370264
0.0049,2.34E-05,-0.001385245
0.00495,2.40E-05,-0.001399899
0.005,2.45E-05,-0.001414214
0.00505,2.50E-05,-0.001428179
0.0051,2.55E-05,-0.001441786
0.00515,2.60E-05,-0.001455023
0.0052,2.65E-05,-0.00146788
0.00525,2.71E-05,-0.001480347
0.0053,2.76E-05,-0.001492413
0.00535,2.81E-05,-0.00150407
0.0054,2.86E-05,-0.001515307
0.00545,2.91E-05,-0.001526114
0.0055,2.96E-05,-0.001536482
0.00555,3.01E-05,-0.001546402
0.0056,3.06E-05,-0.001555864
0.00565,3.11E-05,-0.001564858
0.0057,3.16E-05,-0.001573376
0.00575,3.21E-05,-0.00158141
0.0058,3.26E-05,-0.001588949
0.00585,3.31E-05,-0.001595986
0.0059,3.36E-05,-0.001602511
0.00595,3.41E-05,-0.001608518
0.006,3.45E-05,-0.001613996
0.00605,3.50E-05,-0.00161894
0.0061,3.54E-05,-0.00162334
0.00615,3.59E-05,-0.001627189
0.0062,3.63E-05,-0.001630479
0.00625,3.68E-05,-0.001633204
0.0063,3.72E-05,-0.001635355
0.00635,3.76E-05,-0.001636927
0.0064,3.80E-05,-0.001637912
0.00645,3.84E-05,-0.001638304
0.0065,3.88E-05,-0.001638096
0.00655,3.92E-05,-0.001637282
0.0066,3.95E-05,-0.001635856
0.00665,3.99E-05,-0.001633813
0.0067,4.02E-05,-0.001631146
0.00675,4.06E-05,-0.001627851
0.0068,4.09E-05,-0.001623922
0.00685,4.12E-05,-0.001619354
0.0069,4.15E-05,-0.001614143
0.00695,4.18E-05,-0.001608283
0.007,4.21E-05,-0.001601772
0.00705,4.23E-05,-0.001594604
0.0071,4.25E-05,-0.001586776
0.00715,4.28E-05,-0.001578284
0.0072,4.30E-05,-0.001569125
0.00725,4.32E-05,-0.001559296
0.0073,4.34E-05,-0.001548793
0.00735,4.35E-05,-0.001537615
0.0074,4.37E-05,-0.001525758
0.00745,4.38E-05,-0.00151322
0.0075,4.39E-05,-0.0015
0.00755,4.40E-05,-0.001486096
0.0076,4.41E-05,-0.001471506
0.00765,4.41E-05,-0.001456229
0.0077,4.42E-05,-0.001440264
0.00775,4.42E-05,-0.00142361
0.0078,4.42E-05,-0.001406268
0.00785,4.42E-05,-0.001388236
0.0079,4.41E-05,-0.001369515
0.00795,4.41E-05,-0.001350105
0.008,4.40E-05,-0.001330006
0.00805,4.39E-05,-0.00130922
0.0081,4.37E-05,-0.001287748
0.00815,4.36E-05,-0.00126559
0.0082,4.34E-05,-0.001242749
0.00825,4.32E-05,-0.001219226
0.0083,4.30E-05,-0.001195023
0.00835,4.28E-05,-0.001170143
0.0084,4.25E-05,-0.001144588
0.00845,4.22E-05,-0.001118362
0.0085,4.19E-05,-0.001091467
0.00855,4.16E-05,-0.001063907
0.0086,4.12E-05,-0.001035686
0.00865,4.09E-05,-0.001006807
0.0087,4.05E-05,-0.000977274
0.00875,4.00E-05,-0.000947093
0.0088,3.96E-05,-0.000916268
0.00885,3.91E-05,-0.000884803
0.0089,3.86E-05,-0.000852705
0.00895,3.81E-05,-0.000819978
0.009,3.75E-05,-0.000786629
0.00905,3.69E-05,-0.000752663
0.0091,3.63E-05,-0.000718086
0.00915,3.57E-05,-0.000682906
0.0092,3.50E-05,-0.000647129
0.00925,3.43E-05,-0.000610762
0.0093,3.36E-05,-0.000573812
0.00935,3.29E-05,-0.000536287
0.0094,3.21E-05,-0.000498195
0.00945,3.13E-05,-0.000459543
0.0095,3.05E-05,-0.00042034
0.00955,2.96E-05,-0.000380595
0.0096,2.88E-05,-0.000340316
0.00965,2.79E-05,-0.000299512
0.0097,2.69E-05,-0.000258193
0.00975,2.60E-05,-0.000216368
0.0098,2.50E-05,-0.000174046
0.00985,2.40E-05,-0.000131239
0.0099,2.30E-05,-8.80E-05
0.00995,2.19E-05,-4.42E-05
0.01,2.08E-05,1.72E-17
